iter	Passed	Remaining
0	5	1175
1	10	1083
2	16	1086
3	21	1031
4	25	991
5	30	995
6	36	1011
7	42	1012
8	47	1017
9	53	1014
10	58	997
11	63	992
12	68	989
13	73	973
14	78	964
15	84	973
16	92	992
17	98	994
18	103	985
19	107	963
20	110	942
21	115	936
22	118	914
23	121	893
24	124	870
25	127	850
26	130	834
27	133	820
28	137	809
29	139	792
30	142	778
31	145	764
32	148	750
33	151	739
34	154	726
35	157	715
36	159	704
37	162	693
38	165	684
39	168	673
40	171	664
41	174	656
42	177	647
43	180	638
44	183	630
45	186	623
46	189	616
47	192	608
48	194	600
49	197	593
50	200	585
51	203	577
52	205	571
53	210	568
54	212	560
55	215	555
56	219	550
57	222	544
58	224	537
59	227	531
60	230	525
61	233	519
62	236	513
63	239	508
64	242	503
65	245	497
66	248	492
67	251	487
68	253	481
69	256	476
70	259	471
71	261	465
72	264	460
73	267	454
74	269	449
75	272	445
76	275	440
77	278	435
78	282	432
79	285	428
80	288	424
81	291	419
82	294	414
83	297	410
84	299	405
85	302	401
86	305	397
87	308	393
88	311	388
89	313	383
90	316	379
91	319	374
92	322	370
93	325	366
94	327	362
95	330	358
96	333	353
97	335	349
98	338	345
99	340	340
100	343	337
101	346	332
102	349	329
103	352	325
104	356	322
105	359	318
106	361	314
107	364	310
108	367	306
109	370	303
110	373	299
111	375	295
112	379	292
113	382	288
114	385	284
115	388	281
116	391	277
117	394	274
118	396	270
119	399	266
120	402	262
121	405	259
122	407	255
123	410	251
124	413	248
125	416	244
126	418	240
127	421	237
128	424	233
129	427	230
130	430	226
131	433	223
132	436	219
133	439	216
134	441	212
135	444	209
136	447	205
137	450	202
138	453	198
139	455	195
140	458	191
141	461	188
142	464	185
143	469	182
144	472	179
145	475	175
146	478	172
147	480	168
148	483	165
149	486	162
150	489	158
151	492	155
152	495	152
153	497	148
154	501	145
155	504	142
156	507	139
157	510	135
158	513	132
159	516	129
160	519	125
161	522	122
162	524	119
163	528	115
164	531	112
165	533	109
166	536	106
167	539	102
168	542	99
169	544	96
170	547	92
171	550	89
172	553	86
173	555	83
174	558	79
175	561	76
176	563	73
177	565	69
178	568	66
179	571	63
180	575	60
181	578	57
182	582	54
183	585	50
184	587	47
185	590	44
186	593	41
187	596	38
188	599	34
189	602	31
190	605	28
191	608	25
192	611	22
193	613	18
194	616	15
195	619	12
196	622	9
197	625	6
198	627	3
199	630	0
